time(sec),semimem,bifem,vasmed,vaslat,rf,medgas,latgas,tfl,tibant,peronl,soleus,addmagnus,gmax,gmed,sartorius
0.070833,0.001383,-0.159431,0.345913,0.002758,-0.033635,0.007943,0.152124,0.022378,-0.309770,-0.071790,-0.075127,-0.043091,0.001992,0.016813,-1.973136
0.071667,0.007081,0.203870,0.259867,0.000472,-0.000235,-0.022363,0.036960,0.007499,0.129282,0.015756,-0.140813,-0.066998,-0.231996,0.010131,-2.409582
0.072500,-0.003522,0.264143,0.383043,-0.009415,0.009176,-0.006364,0.104196,0.009062,0.327361,0.025953,-0.120356,-0.003857,-0.132741,-0.007378,-2.601911
0.073333,-0.006013,-0.040885,0.234717,-0.009207,0.031362,0.021771,0.147466,-0.006820,0.352996,0.085629,-0.147123,-0.014337,0.066167,-0.007945,-1.498616
0.074167,0.025394,0.005924,0.298049,-0.008066,0.047082,0.032750,0.057137,0.009733,0.351482,0.057477,-0.172143,-0.036018,-0.033346,-0.009728,-0.836809
0.075000,0.009064,0.181767,0.438061,0.000871,0.050511,0.057240,0.221928,-0.005691,0.061016,0.010493,0.040774,0.006336,0.080380,-0.001284,-0.912577
0.075833,0.014267,-0.098097,0.481483,-0.002695,0.052911,0.016653,0.585932,0.007459,-0.180371,-0.110688,0.149193,0.002873,0.092751,0.011131,-1.009116
0.076667,0.018572,-0.070756,0.439244,0.005035,0.046614,-0.018071,-0.346255,0.013145,-0.254212,-0.217542,0.227849,-0.036936,-0.064228,0.008747,-1.043983
0.077500,0.012209,0.145056,0.287824,-0.014852,0.025016,-0.036874,-1.041894,-0.006061,-0.185612,-0.117785,0.273649,-0.006882,0.112749,-0.003400,0.073966
0.078333,0.018215,-0.120087,0.515694,-0.011546,0.025151,-0.018720,0.295138,-0.008535,-0.119751,-0.014031,0.055525,0.016136,0.042874,-0.011122,1.141889
0.079167,-0.045199,-0.200763,0.619578,0.000759,0.012484,-0.025428,0.842662,-0.012316,-0.046157,0.068409,-0.037025,0.036088,-0.120541,-0.012436,1.347865
0.080000,-0.040251,0.190800,0.182201,0.004972,-0.011662,-0.031235,-0.244390,-0.009658,-0.074890,0.028995,0.031340,0.089589,-0.005653,-0.005815,1.214450
0.080833,0.008488,-0.067227,0.338372,-0.002264,-0.024754,-0.025484,-1.107469,-0.008071,-0.084068,0.057559,0.112844,0.095761,-0.088983,0.009044,1.068929
0.081667,-0.006255,-0.168256,-0.141626,0.002244,-0.047896,-0.031700,-1.481920,-0.013386,-0.101487,0.009606,0.115256,0.073965,-0.198376,0.017951,1.319316
0.082500,0.015614,0.142093,-1.010463,-0.002105,-0.057634,-0.006422,-1.049760,-0.017396,-0.046600,0.081364,-0.008949,-0.004353,-0.247254,0.012054,2.043719
0.083333,0.023586,-0.135149,-1.523840,0.002542,-0.051870,0.002716,-0.127433,-0.006855,0.004893,0.070954,-0.081921,-0.009370,-0.278864,-0.009562,2.946954
0.084167,0.002704,-0.130194,-1.594180,0.007337,-0.045134,-0.009652,0.199783,-0.020699,0.016662,0.081970,-0.130274,-0.010698,0.167718,-0.015616,1.925772
0.085000,0.007591,0.155324,-1.407661,-0.005727,-0.043096,-0.021882,0.346112,0.003152,0.145090,0.053052,-0.155742,0.044418,0.500890,-0.016027,0.878902
0.085833,-0.027520,-0.055674,-1.539836,0.009585,-0.012968,0.017269,0.306951,0.009136,0.172408,-0.018422,-0.193008,0.025322,-0.217921,-0.009117,1.027560
0.086667,-0.018708,-0.145145,-1.435494,0.001850,0.006025,0.040185,0.235021,0.001660,-0.011895,0.022239,-0.176346,0.035729,-0.259273,0.008319,-0.556759
0.087500,-0.030976,-0.133778,-1.302390,-0.000093,-0.022740,0.077208,0.323783,0.009706,-0.190583,-0.057394,0.157891,0.043701,-0.188326,0.019191,-3.386313
0.088333,0.006628,0.008559,-0.937417,0.003604,-0.021742,0.021202,0.447312,0.005949,-0.123557,-0.068004,0.096343,-0.007874,-0.005813,0.016937,-4.639223
0.089167,0.018877,-0.017593,-0.166001,-0.018495,-0.009124,0.021534,0.591809,0.000304,-0.065727,-0.077996,-0.120515,0.012491,0.417387,0.003542,-3.968012
0.090000,-0.022153,0.081264,0.599906,0.024704,0.001858,-0.002224,0.360900,0.014437,-0.216339,0.016341,-0.225032,-0.053783,0.231395,-0.009094,-2.309951
0.090833,0.021936,0.315424,1.325348,0.012655,0.014131,0.002405,0.114088,-0.012380,-0.180641,0.001334,-0.111751,-0.042393,0.047200,-0.012119,-0.104703
0.091667,0.018390,-0.003220,1.819646,0.015699,0.004685,-0.003040,0.147346,-0.009187,0.108636,0.052410,0.061887,-0.096494,0.150312,0.002399,2.384823
0.092500,0.011155,-0.044379,1.806233,0.000569,0.023301,-0.022226,0.164867,-0.007103,0.388833,0.061489,0.041858,-0.074656,0.131041,-0.005211,3.602146
0.093333,-0.028151,-0.094867,1.760198,-0.006338,0.021492,-0.043560,0.175500,0.001514,0.550610,0.020137,0.035723,-0.074547,0.127778,0.015403,4.035696
0.094167,-0.013011,0.098195,1.556018,-0.005637,0.018679,-0.031180,0.141511,0.000659,0.566836,0.019104,0.101817,-0.022010,-0.102421,0.007022,3.034347
0.095000,0.015983,0.149398,1.154922,-0.012588,0.022988,-0.020939,0.013518,-0.009194,0.264786,0.213998,0.083170,-0.036056,-0.096647,-0.004415,1.611533
0.095833,0.020073,-0.195603,0.859151,-0.007356,0.029121,-0.022746,-0.091736,-0.001169,-0.080148,0.276274,0.055664,0.003878,-0.218427,-0.016467,0.706236
0.096667,0.001850,0.008176,0.531729,-0.005965,0.001104,-0.001034,-0.099044,0.012398,-0.302000,0.083849,0.172540,0.000314,-0.296492,-0.020589,0.132956
0.097500,0.002511,0.194016,0.053027,-0.001549,-0.017385,-0.021094,-0.162571,0.001317,-0.259848,-0.021025,0.242491,0.014169,-0.247792,0.001987,-0.501691
0.098333,0.002521,0.010180,-0.118445,0.003907,-0.028908,-0.032707,-0.122780,-0.000664,0.042414,-0.418129,0.009816,0.051588,-0.271591,0.015404,-0.895901
0.099167,0.028428,-0.003048,-0.149025,-0.008976,-0.014512,-0.049735,0.048782,-0.004660,0.250085,-0.591082,-0.088902,-0.004720,-0.067761,0.020881,-1.203892
0.100000,0.033384,-0.030190,0.024928,-0.023564,-0.005303,-0.028670,-0.126793,-0.004083,0.080337,-0.344075,-0.030594,0.011770,0.098457,0.003923,-1.712405
0.100833,-0.017709,-0.154460,0.040178,-0.010561,0.003778,-0.000615,-0.156882,0.009637,-0.178819,-0.146725,-0.014060,0.033364,-0.007846,-0.006631,-2.406862
0.101667,-0.003393,-0.128884,-0.023146,0.007149,0.026478,0.028043,-0.087636,-0.002080,-0.235541,-0.033457,-0.010135,-0.032957,0.271027,-0.021461,-3.023796
0.102500,-0.017359,-0.107799,-0.482731,0.013543,0.038546,0.040540,-0.285628,-0.011286,-0.147088,0.094066,-0.037418,-0.055606,0.244775,-0.005931,-2.433811
0.103333,-0.009254,0.107384,-1.006831,0.009694,0.033884,0.060393,-0.126499,0.010117,0.070512,0.179612,-0.036536,0.044669,0.121348,0.006086,-1.194202
0.104167,-0.015850,0.346293,-1.259227,0.016660,0.019967,0.064579,-0.016290,0.009964,-0.014084,0.139638,-0.071865,0.085580,0.376912,0.005435,-0.009677
0.105000,-0.011664,0.195327,-1.179349,0.002249,0.031885,0.060893,-0.176382,0.011926,-0.138210,0.180062,-0.157884,0.050091,0.219897,0.019886,0.324107
0.105833,-0.014545,0.042731,-0.800525,0.007050,0.033619,0.036526,-0.089139,-0.007938,-0.160928,0.139361,-0.040824,0.024156,0.189126,0.004580,0.436898
0.106667,-0.036391,-0.106548,-0.563512,0.005586,0.017526,0.025358,-0.057971,0.004250,-0.202483,0.172474,0.077002,0.029487,0.186031,-0.009508,0.419718
0.107500,0.000016,-0.234134,-0.431504,0.000757,0.009833,0.058216,-0.055903,0.008828,-0.197080,0.206819,0.030818,0.008594,0.109286,-0.018716,-0.049469
0.108333,0.004350,0.158397,-0.263333,0.008130,-0.021674,0.065824,-0.012900,-0.008845,-0.120538,0.094272,-0.032869,-0.000038,-0.103383,-0.006868,-0.077542
0.109167,0.000423,0.139118,-0.123239,-0.006930,-0.032765,0.008050,0.046801,-0.002834,-0.080471,0.041158,0.132695,-0.039567,-0.016356,0.000858,-0.620549
0.110000,0.015713,-0.036294,-0.217541,-0.000931,-0.024528,-0.035612,0.075185,0.001686,-0.046978,-0.143704,0.170783,-0.042683,0.513635,0.013466,-1.072518
0.110833,0.022762,-0.206300,-0.170479,-0.036585,-0.047186,-0.027630,0.037379,0.009901,0.000868,-0.088156,-0.047367,-0.090096,-0.092842,0.012645,-0.508801
0.111667,-0.026634,-0.074607,-0.176719,0.005587,-0.062154,-0.016683,0.046536,0.007312,0.058694,-0.112798,-0.264316,-0.027840,-0.307588,0.008163,0.293753
0.112500,0.015240,0.085941,-0.339756,0.004586,-0.056023,-0.135068,0.044010,-0.018295,0.078499,-0.036994,-0.336304,-0.024223,-0.521467,-0.017071,0.946281
0.113333,0.007557,-0.183642,-0.219211,-0.006167,-0.061157,-0.234930,0.052644,-0.002843,0.050751,-0.016574,0.049646,-0.038057,-0.409969,-0.013160,0.988407
0.114167,0.025402,-0.099798,-0.077497,-0.002104,-0.022945,-0.110123,0.011211,0.009404,0.040233,0.011281,0.145109,0.000373,-0.396523,-0.002991,1.157136
0.115000,0.028655,0.032638,-0.004758,0.001520,0.010993,-0.026148,0.093167,-0.001709,0.045959,0.092751,0.101160,0.067541,-0.312768,0.009011,1.669888
0.115833,0.009545,-0.222073,0.316095,0.001200,0.019741,0.013944,0.173959,-0.012550,0.055187,0.143547,0.097097,0.050654,-0.006921,0.012319,2.619057
0.116667,0.004092,-0.007384,0.537424,0.004718,0.028466,0.017175,0.145971,0.001887,0.049972,-0.013245,-0.017528,0.087458,0.024814,0.005407,2.713797
0.117500,-0.012718,0.088559,0.459828,-0.001959,0.041433,0.016352,0.260619,-0.004197,0.044088,0.055202,-0.005295,0.091695,-0.130516,-0.009131,2.601986
0.118333,-0.013870,-0.136480,0.420013,0.005584,0.023231,0.029480,0.454370,-0.001070,0.040756,0.072943,-0.003088,0.062858,-0.043867,-0.009168,2.326933
0.119167,0.011174,-0.043819,0.350209,-0.000269,0.025125,0.097604,0.051350,-0.019122,0.104355,-0.151123,-0.166111,0.035222,-0.200298,-0.013320,1.731761
0.120000,-0.014332,0.182019,0.372048,-0.005631,0.053361,0.119856,-0.537286,0.016237,0.126046,-0.230856,-0.153671,0.000032,0.434948,0.003134,0.959787
0.120833,-0.025988,0.065376,0.887344,0.001553,0.076195,0.123081,-0.618106,0.019836,0.123606,-0.021043,-0.000750,0.020094,0.464721,0.014558,0.043979
0.121667,-0.039659,-0.054592,1.695382,0.001752,0.049521,0.085904,-0.281829,0.014843,0.167265,0.151279,0.143369,-0.045795,-0.094217,0.012714,-1.289841
0.122500,-0.002546,0.042707,1.817898,0.010835,0.018958,0.058659,0.111805,0.016641,0.206829,0.031559,0.378569,-0.019470,-0.078843,0.002332,-2.064815
0.123333,-0.053194,-0.150139,1.113031,0.004998,0.006775,0.017827,0.355637,-0.000889,0.137446,-0.021493,0.232522,-0.041978,0.059811,-0.009722,-1.883022
0.124167,-0.033216,-0.090141,0.711312,-0.001418,-0.013428,-0.017391,0.088391,0.018077,0.129043,-0.197707,0.135908,-0.084986,0.174524,-0.010019,-2.724978
0.125000,0.007643,0.269614,1.332006,-0.001091,-0.072174,-0.026576,-0.374338,-0.000035,0.163687,-0.244705,0.312187,-0.035164,0.169809,-0.011988,-3.889814
0.125833,0.017653,0.200111,1.265801,-0.005771,-0.118044,-0.037830,0.031482,-0.017707,-0.030176,-0.110596,-0.010667,-0.077333,0.096506,0.002530,-4.242655
0.126667,0.031600,-0.032502,0.545099,0.012765,-0.103580,-0.033479,0.452767,0.016615,-0.316100,-0.040420,-0.110383,-0.073428,-0.269818,0.015985,-3.501849
0.127500,0.039710,-0.000512,-0.343508,0.001720,-0.068912,-0.024534,0.287582,0.008616,-0.169924,0.077546,-0.097209,-0.026062,-0.181016,0.009305,-2.154875
0.128333,0.031749,0.235649,-1.069219,-0.009003,-0.005949,0.009432,-0.198551,-0.013182,-0.260879,0.053060,-0.256245,-0.050297,-0.128738,0.001257,-0.848593
0.129167,0.091168,-0.036785,-2.186064,-0.010863,0.039081,-0.010636,-0.454622,-0.012013,-0.322534,0.093220,-0.463040,-0.026049,0.375416,-0.009533,0.225407
0.130000,0.065669,0.048075,-2.918493,-0.009358,0.050012,-0.022341,-0.152255,-0.012906,-0.098523,0.115672,-0.292682,0.038600,0.169582,-0.006892,1.830451
0.130833,-0.018064,0.125629,-3.144110,0.005731,0.056454,-0.079089,0.156492,-0.006245,-0.038651,0.175085,0.019510,0.033341,-0.336331,-0.008064,3.630047
